Price,Adj Close,Close,High,Low,Open,Volume
Ticker,UNVR.JK,UNVR.JK,UNVR.JK,UNVR.JK,UNVR.JK,UNVR.JK
Date,,,,,,
2008-11-10,972.159912109375,1520.0,1630.0,1490.0,1600.0,11015080
2008-11-17,1016.93017578125,1590.0,1670.0,1510.0,1530.0,100
2008-11-24,984.9514770507812,1540.0,1590.0,1420.0,1590.0,20230060
2008-12-01,971.5938720703125,1500.0,1600.0,1500.0,1530.0,1322580
2008-12-08,958.63916015625,1480.0,1640.0,1450.0,1500.0,80
2008-12-15,1010.4573974609375,1560.0,1590.0,1500.0,1530.0,40732540
2008-12-22,1036.36669921875,1600.0,1610.0,1550.0,1580.0,740060
2008-12-29,1010.4573974609375,1560.0,1610.0,1560.0,1600.0,20
2009-01-05,1036.36669921875,1600.0,1670.0,1550.0,1620.0,16432580
2009-01-12,1055.7984619140625,1630.0,1760.0,1590.0,1690.0,9460080
2009-01-19,1081.7076416015625,1670.0,1680.0,1580.0,1610.0,14952540
2009-01-26,1023.4120483398438,1580.0,1670.0,1570.0,1670.0,3962560
2009-02-02,1062.275634765625,1640.0,1680.0,1570.0,1580.0,3777560
2009-02-09,1036.36669921875,1600.0,1650.0,1590.0,1640.0,100
2009-02-16,1042.843994140625,1610.0,1630.0,1600.0,1600.0,100
2009-02-23,1042.843994140625,1610.0,1630.0,1600.0,1630.0,1697580
2009-03-02,1036.36669921875,1600.0,1620.0,1560.0,1600.0,6627560
2009-03-09,1029.889404296875,1590.0,1630.0,1580.0,1600.0,80
2009-03-16,1055.7984619140625,1630.0,1630.0,1560.0,1580.0,5437580
2009-03-23,1029.889404296875,1590.0,1640.0,1580.0,1640.0,80
2009-03-30,997.5028686523438,1540.0,1600.0,1500.0,1590.0,66455040
2009-04-06,978.0712890625,1510.0,1550.0,1500.0,1530.0,60
2009-04-13,1036.36669921875,1600.0,1610.0,1510.0,1530.0,33435060
2009-04-20,1016.93505859375,1570.0,1600.0,1540.0,1580.0,12090060
2009-04-27,991.0259399414062,1530.0,1580.0,1520.0,1530.0,6347580
2009-05-04,997.5028686523438,1540.0,1600.0,1520.0,1530.0,32407580
2009-05-11,1023.4120483398438,1580.0,1600.0,1530.0,1560.0,31145080
2009-05-18,1023.4120483398438,1580.0,1610.0,1570.0,1570.0,4467560
2009-05-25,1016.93505859375,1570.0,1610.0,1560.0,1600.0,100
2009-06-01,1042.843994140625,1610.0,1610.0,1560.0,1580.0,22672560
2009-06-08,1114.0938720703125,1720.0,1720.0,1590.0,1600.0,32747580
2009-06-15,1127.0487060546875,1740.0,1740.0,1620.0,1700.0,5952580
2009-06-22,1185.344482421875,1830.0,1840.0,1670.0,1730.0,100
2009-06-29,1282.50390625,1980.0,2000.0,1770.0,1800.0,6225060
2009-07-06,1360.5577392578125,2050.0,2100.0,1980.0,2000.0,5742560
2009-07-13,1440.2000732421875,2170.0,2380.0,1960.0,2070.0,7867560
2009-07-20,1440.2000732421875,2170.0,2250.0,2140.0,2170.0,2992560
2009-07-27,1539.7532958984375,2320.0,2420.0,2180.0,2180.0,4340080
2009-08-03,1453.4735107421875,2190.0,2320.0,2160.0,2280.0,100
2009-08-10,1433.5633544921875,2160.0,2220.0,2140.0,2200.0,21605040
2009-08-17,1433.5633544921875,2160.0,2200.0,2120.0,2160.0,10407540
2009-08-24,1353.921142578125,2040.0,2180.0,2010.0,2090.0,100
2009-08-31,1380.4681396484375,2080.0,2080.0,2000.0,2020.0,100
2009-09-07,1387.1051025390625,2090.0,2220.0,2070.0,2170.0,24780080
2009-09-14,1426.926025390625,2150.0,2190.0,2060.0,2130.0,80
2009-09-21,1420.2894287109375,2140.0,2190.0,2120.0,2150.0,12222520
2009-09-28,1446.8370361328125,2180.0,2190.0,2100.0,2100.0,6637580
2009-10-05,1460.11083984375,2200.0,2220.0,2120.0,2150.0,100
2009-10-12,1453.4735107421875,2190.0,2280.0,2160.0,2170.0,100
2009-10-19,1393.7420654296875,2100.0,2220.0,2080.0,2190.0,2797580
2009-10-26,1340.647216796875,2020.0,2170.0,1870.0,2140.0,6272580
2009-11-02,1334.0101318359375,2010.0,2160.0,1960.0,2010.0,12045040
2009-11-09,1387.1051025390625,2090.0,2110.0,2030.0,2030.0,12535040
2009-11-16,1493.294921875,2250.0,2270.0,2100.0,2140.0,100
2009-11-23,1453.4735107421875,2190.0,2320.0,2180.0,2260.0,3977560
2009-11-30,1580.3477783203125,2360.0,2370.0,2120.0,2210.0,12017535
2009-12-07,1473.2056884765625,2200.0,2390.0,2200.0,2350.0,7512555
2009-12-14,1473.2056884765625,2200.0,2280.0,2190.0,2240.0,3475060
2009-12-21,1493.294921875,2230.0,2230.0,2120.0,2120.0,60
2009-12-28,1479.9022216796875,2210.0,2220.0,2160.0,2180.0,2500040
2010-01-04,1493.294921875,2230.0,2290.0,2190.0,2210.0,5952580
2010-01-11,1473.2056884765625,2200.0,2280.0,2200.0,2250.0,3245080
2010-01-18,1546.8658447265625,2310.0,2350.0,2200.0,2210.0,1767580
2010-01-25,1513.3837890625,2260.0,2310.0,2200.0,2290.0,7690060
2010-02-01,1499.9915771484375,2240.0,2330.0,2210.0,2290.0,8972560
2010-02-08,1526.7769775390625,2280.0,2280.0,2110.0,2160.0,30160000
2010-02-15,1513.3837890625,2260.0,2320.0,2230.0,2250.0,9587500
2010-02-22,1540.169677734375,2300.0,2340.0,2240.0,2240.0,19270000
2010-03-01,1526.7769775390625,2280.0,2340.0,2260.0,2300.0,24645000
2010-03-08,1620.5264892578125,2420.0,2640.0,2310.0,2340.0,48365000
2010-03-15,1633.91943359375,2440.0,2510.0,2390.0,2400.0,39902500
2010-03-22,1647.311767578125,2460.0,2510.0,2400.0,2400.0,31070000
2010-03-29,1627.222412109375,2430.0,2480.0,2400.0,2430.0,35455000
2010-04-05,1640.6153564453125,2450.0,2530.0,2410.0,2450.0,35160000
2010-04-12,1687.4903564453125,2520.0,2520.0,2430.0,2440.0,26377500
2010-04-19,1747.758056640625,2610.0,2650.0,2460.0,2520.0,15777500
2010-04-26,1854.9002685546875,2770.0,2800.0,2630.0,2700.0,29225000
2010-05-03,1995.5242919921875,2980.0,3310.0,2780.0,2890.0,52112500
2010-05-10,2075.881103515625,3100.0,3140.0,2890.0,2980.0,24390000
2010-05-17,1895.0782470703125,2830.0,3080.0,2720.0,3060.0,40665000
2010-05-24,2029.006591796875,3030.0,3160.0,2820.0,2940.0,45087500
2010-05-31,2176.326416015625,3250.0,3270.0,3000.0,3120.0,44110000
2010-06-07,2156.237548828125,3220.0,3320.0,3070.0,3240.0,49780000
2010-06-14,2249.986572265625,3360.0,3480.0,3110.0,3160.0,42860000
2010-06-21,2470.9677734375,3690.0,3740.0,3270.0,3390.0,37007500
2010-06-28,2276.773193359375,3400.0,3780.0,3370.0,3610.0,51660000
2010-07-05,2328.7412109375,3420.0,3440.0,3370.0,3400.0,21225000
2010-07-12,2240.222412109375,3290.0,3420.0,3270.0,3380.0,32580020
2010-07-19,2226.603515625,3270.0,3370.0,3260.0,3300.0,61525000
2010-07-26,2308.3134765625,3390.0,3470.0,3280.0,3300.0,81455000
2010-08-02,2260.64990234375,3320.0,3400.0,3210.0,3350.0,50027500
2010-08-09,2240.222412109375,3290.0,3350.0,3260.0,3330.0,21065000
2010-08-16,2315.122802734375,3400.0,3420.0,3280.0,3320.0,50080000
2010-08-23,2253.8408203125,3310.0,3430.0,3280.0,3390.0,32290000
2010-08-30,2212.985107421875,3250.0,3360.0,3190.0,3280.0,52535000
2010-09-06,2233.41259765625,3280.0,3290.0,3240.0,3290.0,17962500
